target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2310	0	0
AT1G18320.1	699	500	0	0
AT5G11100.1	1709	1510	3	1.6951
AT4G35335.1	1280	1081	32	25.2566
AT1G60930.1	3876	3677	7	1.62426
AT1G17000.1	2351	2152	0	0
AT3G55270.1	3130	2931	109	31.7294
AT4G16150.1	3181	2982	83	23.7477
AT3G18150.1	1370	1171	0	0
AT3G52310.1	2443	2244	11	4.18236
AT3G08943.1	3165	2966	134.386	38.6575
AT4G15950.1	814	615	7	9.71123
AT5G60900.1	2873	2674	4	1.27629
AT5G18710.1	1919	1720	0	0
AT1G64460.1	2240	2041	31	12.959
AT2G31100.1	1247	1048	0	0
AT1G60260.1	1634	1435	45	26.7554
AT2G06210.1	3579	3380	71	17.9223
AT3G57180.1	2232	2033	24	10.0722
ATMG01320.1	922	723	0	0
AT4G15130.1	1234	1035	22	18.1357
AT5G39100.1	808	609	0	0
AT4G16110.1	2666	2467	43	14.8714
AT5G26800.1	637	438	25	48.6987
AT4G16360.1	1685	1486	61	35.0237
ATMG00060.1	542	343	0	0
AT1G76820.1	3857	3658	8.22934	1.91943
AT3G05780.1	2775	2576	0	0
AT1G24405.1	718	519	0	0
AT2G27490.4	843	644	7.31297	9.68856
AT2G27490.1	1367	1168	6.68699	4.88472
AT2G27490.3	1201	1002	2.73509e-05	2.32892e-05
AT2G27490.2	1381	1182	9.27994e-06	6.69853e-06
AT3G13276.1	269	70.019	0	0
AT1G71740.1	393	194	0	0
AT1G52920.1	1351	1152	0	0
AT2G17370.1	2273	2074	20	8.22759
AT4G13615.1	813	614	134	186.203
AT3G46680.1	1350	1151	0	0
AT1G70830.3	996	797	4.58391	4.90714
AT1G70830.2	1329	1130	0	0
AT1G70830.5	787	588	0	0
AT1G70830.4	1393	1194	0	0
AT1G70830.1	1331	1132	141.438	106.603
AT2G34090.3	1458	1259	0	0
AT2G34090.2	1616	1417	0	0
AT2G34090.1	1700	1501	0	0
AT2G34090.4	1521	1322	3	1.93616
AT2G34090.5	1425	1226	0	0
AT1G65541.1	340	141	0	0
AT2G01050.1	1548	1349	0	0
AT2G07751.1	357	158	0	0
AT4G20565.1	789	590	0	0
AT1G61566.1	551	352	0	0
AT4G29530.2	1148	949	0	0
AT4G29530.1	1144	945	3	2.70857
AT5G09225.1	780	581	16	23.4961
AT1G21100.1	1545	1346	48.272	30.5986
AT1G73150.1	2150	1951	10.0567	4.39794
AT1G73150.2	1956	1757	1.9433	0.943668
AT3G51750.3	654	455	0	0
AT3G51750.1	563	364	0.000170757	0.000400248
AT3G51750.2	560	361	1.99983	4.72647
AT1G07010.1	1622	1423	81.9114	49.1124
AT1G07010.2	1556	1357	0	0
AT1G07010.3	1542	1343	12.0886	7.67981
AT1G32080.1	2009	1810	323	152.256
AT1G16710.5	6346	6147	7.70974	1.07011
AT1G16710.7	5822	5623	49.0341	7.44014
AT1G16710.1	6018	5819	0	0
AT1G16710.4	6502	6303	40.2562	5.44925
AT1G16710.8	6455	6256	0	0
AT1G16710.10	6023	5824	0	0
AT1G16710.6	6107	5908	0	0
AT1G16710.3	6619	6420	0	0
AT1G16710.9	6549	6350	0	0
AT1G16710.2	5783	5584	0	0
AT1G07590.1	2407	2208	868.141	335.462
AT5G49170.1	1172	973	5	4.38438
AT2G40240.1	1614	1415	6	3.61781
AT4G30380.2	537	338	0	0
AT4G30380.1	486	287	2	5.94565
AT2G20619.1	201	17.0167	0	0
AT3G05830.2	1420	1221	0	0
AT3G05830.1	1358	1159	16	11.7784
AT3G05830.3	1524	1325	0	0
AT5G11430.6	3634	3435	0	0
AT5G11430.2	2601	2402	0	0
AT5G11430.4	2791	2592	0	0
AT5G11430.3	3322	3123	0	0
AT5G11430.5	2373	2174	0	0
AT5G11430.1	3147	2948	41	11.8661
AT1G20530.1	2269	2070	3	1.23652
AT4G23170.1	1824	1625	4	2.10019
AT1G44780.2	1644	1445	11.8658	7.00617
AT1G44780.1	1647	1448	1.1342	0.668299
AT1G60880.1	606	407	0	0
AT1G06160.1	1086	887	11	10.5808
AT3G07260.1	1204	1005	0	0
AT1G21090.1	1404	1205	8.99988	6.37237
AT1G21090.2	1416	1217	0.000120959	8.48008e-05
