target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2310	0	0
AT1G18320.1	699	500	4.68457	5.67119
AT5G11100.1	1709	1510	5	2.00432
AT4G35335.1	1280	1081	31	17.3584
AT1G60930.1	3876	3677	16	2.63391
AT1G17000.1	2351	2152	0	0
AT3G55270.1	3130	2931	119	24.5757
AT4G16150.1	3181	2982	137	27.8091
AT3G18150.1	1370	1171	0	0
AT3G52310.1	2443	2244	16	4.3159
AT3G08943.1	3165	2966	175.07	35.7285
AT4G15950.1	814	615	14	13.7793
AT5G60900.1	2873	2674	5	1.13184
AT5G18710.1	1919	1720	2	0.703844
AT1G64460.1	2240	2041	28	8.30404
AT2G31100.1	1247	1048	0	0
AT1G60260.1	1634	1435	77	32.4798
AT2G06210.1	3579	3380	98	17.5503
AT3G57180.1	2232	2033	28	8.33672
ATMG01320.1	922	723	0	0
AT4G15130.1	1234	1035	19	11.1119
AT5G39100.1	808	609	0	0
AT4G16110.1	2666	2467	54	13.2495
AT5G26800.1	637	438	21	29.0215
AT4G16360.1	1685	1486	93	37.8825
ATMG00060.1	542	343	1	1.76474
AT1G76820.1	3857	3658	8.45516	1.39911
AT3G05780.1	2775	2576	1	0.234979
AT1G24405.1	718	519	1	1.16629
AT2G27490.4	843	644	19.542	18.3678
AT2G27490.1	1367	1168	4.45798	2.31031
AT2G27490.3	1201	1002	0	0
AT2G27490.2	1381	1182	3.69528e-05	1.89236e-05
AT3G13276.1	269	70.019	0	0
AT1G71740.1	393	194	1	3.12013
AT1G52920.1	1351	1152	1	0.525439
AT2G17370.1	2273	2074	30	8.75562
AT4G13615.1	813	614	164	161.678
AT3G46680.1	1350	1151	0	0
AT1G70830.3	996	797	0	0
AT1G70830.2	1329	1130	0	0
AT1G70830.5	787	588	0	0
AT1G70830.4	1393	1194	19.31	9.78931
AT1G70830.1	1331	1132	146.854	78.5261
AT2G34090.3	1458	1259	0	0
AT2G34090.2	1616	1417	0	0
AT2G34090.1	1700	1501	0	0
AT2G34090.4	1521	1322	4	1.83148
AT2G34090.5	1425	1226	0	0
AT1G65541.1	340	141	0	0
AT2G01050.1	1548	1349	0	0
AT2G07751.1	357	158	0	0
AT4G20565.1	789	590	0	0
AT1G61566.1	551	352	0	0
AT4G29530.2	1148	949	0.0622111	0.0396804
AT4G29530.1	1144	945	3.93779	2.52229
AT5G09225.1	780	581	36	37.506
AT1G21100.1	1545	1346	85.9089	38.6338
AT1G73150.1	2150	1951	10.0567	3.12013
AT1G73150.2	1956	1757	10.9433	3.77008
AT3G51750.3	654	455	0	0
AT3G51750.1	563	364	0	0
AT3G51750.2	560	361	0	0
AT1G07010.1	1622	1423	111	47.2164
AT1G07010.2	1556	1357	5.19156e-07	2.31575e-07
AT1G07010.3	1542	1343	0	0
AT1G32080.1	2009	1810	435	145.474
