target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2310	0	0
AT1G18320.1	699	500	16.4533	8.78236
AT5G11100.1	1709	1510	17	3.00469
AT4G35335.1	1280	1081	88	21.7263
AT1G60930.1	3876	3677	25	1.81457
AT1G17000.1	2351	2152	0	0
AT3G55270.1	3130	2931	279	25.4048
AT4G16150.1	3181	2982	321	28.7293
AT3G18150.1	1370	1171	0	0
AT3G52310.1	2443	2244	15	1.78401
AT3G08943.1	3165	2966	468.427	42.1502
AT4G15950.1	814	615	33	14.3208
AT5G60900.1	2873	2674	12	1.1977
AT5G18710.1	1919	1720	5	0.775836
AT1G64460.1	2240	2041	99	12.9455
AT2G31100.1	1247	1048	0	0
AT1G60260.1	1634	1435	67	12.4609
AT2G06210.1	3579	3380	253	19.9771
AT3G57180.1	2232	2033	93	12.2088
ATMG01320.1	922	723	1	0.369139
AT4G15130.1	1234	1035	57	14.6981
AT5G39100.1	808	609	1	0.438239
AT4G16110.1	2666	2467	128	13.8474
AT5G26800.1	637	438	72	43.8719
AT4G16360.1	1685	1486	223	40.0511
ATMG00060.1	542	343	0	0
AT1G76820.1	3857	3658	20.8093	1.51825
AT3G05780.1	2775	2576	1	0.103605
AT1G24405.1	718	519	1	0.514234
AT2G27490.4	843	644	18.2268	7.55356
AT2G27490.1	1367	1168	0	0
AT2G27490.3	1201	1002	0	0
AT2G27490.2	1381	1182	19.7732	4.46466
AT3G13276.1	269	70.019	0	0
AT1G71740.1	393	194	0	0
AT1G52920.1	1351	1152	2	0.463346
AT2G17370.1	2273	2074	70	9.00777
AT4G13615.1	813	614	381	165.609
AT3G46680.1	1350	1151	2	0.463749
AT1G70830.3	996	797	3.9625	1.3269
AT1G70830.2	1329	1130	0	0
AT1G70830.5	787	588	0	0
AT1G70830.4	1393	1194	50.2391	11.2296
AT1G70830.1	1331	1132	302.489	71.3168
AT2G34090.3	1458	1259	19.595	4.15383
AT2G34090.2	1616	1417	0	0
AT2G34090.1	1700	1501	12.405	2.20568
AT2G34090.4	1521	1322	0	0
AT2G34090.5	1425	1226	0	0
AT1G65541.1	340	141	1.06235	2.01083
AT2G01050.1	1548	1349	0	0
AT2G07751.1	357	158	0	0
AT4G20565.1	789	590	0	0
AT1G61566.1	551	352	0	0
AT4G29530.2	1148	949	0.199685	0.0561576
AT4G29530.1	1144	945	18.8003	5.3096
AT5G09225.1	780	581	77	35.3706
AT1G21100.1	1545	1346	40.9857	8.12673
AT1G73150.1	2150	1951	13.3043	1.81996
AT1G73150.2	1956	1757	17.6957	2.68797
AT3G51750.3	654	455	0	0
AT3G51750.1	563	364	5	3.66604
AT3G51750.2	560	361	0	0
AT1G07010.1	1622	1423	150.924	28.3062
AT1G07010.2	1556	1357	143.076	28.1394
AT1G07010.3	1542	1343	0	0
AT1G32080.1	2009	1810	1222	180.186
AT1G16710.5	6346	6147	0.00355521	0.000154358
AT1G16710.7	5822	5623	153.321	7.27717
AT1G16710.1	6018	5819	0.0231172	0.00106026
AT1G16710.4	6502	6303	0	0
AT1G16710.8	6455	6256	197.652	8.43204
AT1G16710.10	6023	5824	0	0
AT1G16710.6	6107	5908	3.09821e-07	1.39958e-08
AT1G16710.3	6619	6420	0	0
AT1G16710.9	6549	6350	0	0
AT1G16710.2	5783	5584	0	0
AT1G07590.1	2407	2208	4130.36	499.248
AT5G49170.1	1172	973	23	6.30875
AT2G40240.1	1614	1415	23	4.3381
AT4G30380.2	537	338	0	0
AT4G30380.1	486	287	0	0
AT2G20619.1	201	17.0167	0	0
AT3G05830.2	1420	1221	0	0
AT3G05830.1	1358	1159	46	10.5926
AT3G05830.3	1524	1325	0	0
AT5G11430.6	3634	3435	0	0
AT5G11430.2	2601	2402	0	0
AT5G11430.4	2791	2592	0	0
AT5G11430.3	3322	3123	0	0
AT5G11430.5	2373	2174	0	0
AT5G11430.1	3147	2948	179.373	16.2389
AT1G20530.1	2269	2070	8	1.03145
AT4G23170.1	1824	1625	53.6574	8.8126
AT1G44780.2	1644	1445	32	5.91031
AT1G44780.1	1647	1448	0	0
AT1G60880.1	606	407	0	0
AT1G06160.1	1086	887	11	3.30977
AT3G07260.1	1204	1005	3.55549	0.944195
AT1G21090.1	1404	1205	51	11.2957
AT1G21090.2	1416	1217	0	0
AT1G76730.1	1500	1301	161	33.0276
AT1G03970.1	1190	991	68	18.3132
AT5G19160.1	2182	1983	8	1.0767
AT5G19160.2	2242	2043	0	0
AT3G49744.1	174	9.99669	0	0
AT5G28820.1	519	320	0	0
AT4G12530.1	730	531	1	0.502613
AT4G20050.1	1924	1725	0	0
AT4G20050.5	1742	1543	0	0
AT4G20050.3	1800	1601	0	0
AT4G20050.2	1873	1674	0	0
AT4G20050.6	1732	1533	2.07245e-08	3.60804e-09
AT4G20050.7	1707	1508	1	0.176981
AT4G20050.4	1981	1782	0	0
AT5G53810.1	1574	1375	3	0.5823
AT2G28690.1	1117	918	20	5.81454
AT5G01530.1	1396	1197	10022	2234.54
AT3G62800.3	1283	1084	4.54756	1.11964
AT3G62800.1	1368	1169	11.5601	2.63923
AT3G62800.2	1297	1098	27.8923	6.77969
ATCG00900.1	468	269	5.5	5.45681
AT3G11385.1	2459	2260	4	0.472367
AT5G07010.1	1779	1580	53.3046	9.004
AT3G63040.1	654	455	0	0
AT2G26570.2	2921	2722	0.00053425	5.23823e-05
AT2G26570.1	2941	2742	270.999	26.3772
AT3G05560.2	756	557	34.983	16.7622
AT3G05560.3	841	642	307.281	127.74
AT3G05560.1	840	641	811.342	337.811
AT5G12080.3	2694	2495	0.316433	0.0338485
AT5G12080.2	2805	2606	1.05551e-07	1.08098e-08
AT5G12080.1	2754	2555	181.684	18.9781
AT1G50870.1	1191	992	0	0
AT2G20610.2	1748	1549	32.1261	5.53521
AT2G20610.1	1794	1595	507.874	84.9813
AT5G02940.2	2792	2593	0	0
AT5G02940.1	2920	2721	226.565	22.2225
AT1G68430.1	945	746	5	1.78879
AT1G66550.2	856	657	0	0
AT1G66550.1	765	566	0	0
AT1G09380.1	1641	1442	3	0.555244
