target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2310	0	0
AT1G18320.1	699	500	9.30854	4.93377
AT5G11100.1	1709	1510	18	3.1591
AT4G35335.1	1280	1081	114	27.9478
AT1G60930.1	3876	3677	33	2.37842
AT1G17000.1	2351	2152	0	0
AT3G55270.1	3130	2931	334	30.1994
AT4G16150.1	3181	2982	339	30.1273
AT3G18150.1	1370	1171	0	0
AT3G52310.1	2443	2244	12	1.41718
AT3G08943.1	3165	2966	451.205	40.3154
AT4G15950.1	814	615	28	12.0656
AT5G60900.1	2873	2674	8	0.79286
AT5G18710.1	1919	1720	3	0.462233
AT1G64460.1	2240	2041	117	15.1918
AT2G31100.1	1247	1048	0	0
AT1G60260.1	1634	1435	78	14.4049
AT2G06210.1	3579	3380	283	22.189
AT3G57180.1	2232	2033	90	11.732
ATMG01320.1	922	723	4	1.46619
AT4G15130.1	1234	1035	60	15.3631
AT5G39100.1	808	609	0	0
AT4G16110.1	2666	2467	178	19.1214
AT5G26800.1	637	438	63	38.1184
AT4G16360.1	1685	1486	244	43.515
ATMG00060.1	542	343	1	0.772634
AT1G76820.1	3857	3658	46.0444	3.3358
AT3G05780.1	2775	2576	2	0.205756
AT1G24405.1	718	519	1	0.510623
AT2G27490.4	843	644	20.5495	8.45634
AT2G27490.1	1367	1168	0	0
AT2G27490.3	1201	1002	0	0
AT2G27490.2	1381	1182	22.8518	5.12354
AT3G13276.1	269	70.019	1	3.78488
AT1G71740.1	393	194	4	5.46419
AT1G52920.1	1351	1152	3	0.690139
AT2G17370.1	2273	2074	105	13.4168
AT4G13615.1	813	614	353	152.361
AT3G46680.1	1350	1151	2.08051	0.479029
AT1G70830.3	996	797	12.9509	4.30634
AT1G70830.2	1329	1130	0	0
AT1G70830.5	787	588	0	0
AT1G70830.4	1393	1194	37.7328	8.37496
AT1G70830.1	1331	1132	290.983	68.1224
AT2G34090.3	1458	1259	0	0
AT2G34090.2	1616	1417	3.13117	0.585605
AT2G34090.1	1700	1501	17.8688	3.15488
AT2G34090.4	1521	1322	0	0
AT2G34090.5	1425	1226	0	0
AT1G65541.1	340	141	0	0
AT2G01050.1	1548	1349	0	0
AT2G07751.1	357	158	1	1.6773
AT4G20565.1	789	590	0	0
AT1G61566.1	551	352	0	0
AT4G29530.2	1148	949	5.91618	1.65213
AT4G29530.1	1144	945	12.0838	3.38875
AT5G09225.1	780	581	67	30.5609
AT1G21100.1	1545	1346	72.7902	14.3316
AT1G73150.1	2150	1951	0	0
AT1G73150.2	1956	1757	31	4.67582
AT3G51750.3	654	455	0	0
AT3G51750.1	563	364	5	3.64029
AT3G51750.2	560	361	0	0
AT1G07010.1	1622	1423	237.166	44.1689
AT1G07010.2	1556	1357	71.8336	14.0286
AT1G07010.3	1542	1343	0	0
AT1G32080.1	2009	1810	1161	169.989
AT1G16710.5	6346	6147	0.000178285	7.68633e-06
AT1G16710.7	5822	5623	209.734	9.88484
AT1G16710.1	6018	5819	20.8648	0.95024
AT1G16710.4	6502	6303	0.00199115	8.37191e-05
AT1G16710.8	6455	6256	75.9345	3.2167
AT1G16710.10	6023	5824	0	0
AT1G16710.6	6107	5908	77.4641	3.47478
AT1G16710.3	6619	6420	0	0
AT1G16710.9	6549	6350	0	0
AT1G16710.2	5783	5584	0	0
AT1G07590.1	2407	2208	4427.12	531.361
AT5G49170.1	1172	973	12	3.26841
AT2G40240.1	1614	1415	14	2.62204
AT4G30380.2	537	338	0	0
AT4G30380.1	486	287	0	0
AT2G20619.1	201	17.0167	0	0
AT3G05830.2	1420	1221	17.4393	3.78514
AT3G05830.1	1358	1159	44.5607	10.1891
AT3G05830.3	1524	1325	0	0
AT5G11430.6	3634	3435	10.9511	0.844887
AT5G11430.2	2601	2402	3.8406e-07	4.23734e-08
AT5G11430.4	2791	2592	0	0
AT5G11430.3	3322	3123	0	0
AT5G11430.5	2373	2174	0	0
AT5G11430.1	3147	2948	147.049	13.2191
AT1G20530.1	2269	2070	10	1.28026
AT4G23170.1	1824	1625	25	4.07713
AT1G44780.2	1644	1445	31.303	5.74098
AT1G44780.1	1647	1448	3.697	0.676626
AT1G60880.1	606	407	0	0
AT1G06160.1	1086	887	16	4.7804
AT3G07260.1	1204	1005	3.43531	0.905873
AT1G21090.1	1404	1205	65	14.2953
AT1G21090.2	1416	1217	0	0
AT1G76730.1	1500	1301	139	28.3143
AT1G03970.1	1190	991	77	20.5914
AT5G19160.1	2182	1983	10	1.33643
AT5G19160.2	2242	2043	0	0
AT3G49744.1	174	9.99669	0	0
AT5G28820.1	519	320	0	0
AT4G12530.1	730	531	0	0
AT4G20050.1	1924	1725	0	0
AT4G20050.5	1742	1543	0	0
AT4G20050.3	1800	1601	0	0
AT4G20050.2	1873	1674	6	0.949869
AT4G20050.6	1732	1533	0	0
AT4G20050.7	1707	1508	0	0
AT4G20050.4	1981	1782	0	0
AT5G53810.1	1574	1375	5	0.963685
AT2G28690.1	1117	918	17	4.90765
AT5G01530.1	1396	1197	10077	2231.03
AT3G62800.3	1283	1084	0	0
AT3G62800.1	1368	1169	16.4648	3.73258
AT3G62800.2	1297	1098	47.5352	11.4731
ATCG00900.1	468	269	5	4.9259
AT3G11385.1	2459	2260	3	0.351788
AT5G07010.1	1779	1580	112.045	18.7933
AT3G63040.1	654	455	0	0
AT2G26570.2	2921	2722	53.108	5.17058
AT2G26570.1	2941	2742	230.892	22.3156
AT3G05560.2	756	557	130.818	62.2413
AT3G05560.3	841	642	287.201	118.555
AT3G05560.1	840	641	696.981	288.158
AT5G12080.3	2694	2495	183	19.4379
AT5G12080.2	2805	2606	0	0
AT5G12080.1	2754	2555	0	0
AT1G50870.1	1191	992	0	0
AT2G20610.2	1748	1549	74.769	12.792
AT2G20610.1	1794	1595	454.231	75.4717
AT5G02940.2	2792	2593	0	0
AT5G02940.1	2920	2721	236.564	23.0403
AT1G68430.1	945	746	20	7.10492
AT1G66550.2	856	657	0	0
AT1G66550.1	765	566	0	0
AT1G09380.1	1641	1442	1	0.183782
AT3G48840.1	757	558	0	0
AT3G48840.2	667	468	0	0
AT5G61800.1	1629	1430	6	1.11194
AT5G01445.1	589	390	5	3.39761
AT4G35500.1	1975	1776	10.5401	1.57278
AT4G35500.2	1638	1439	29.4599	5.42549
AT1G80310.1	1937	1738	148	22.5673
AT2G39400.2	1307	1108	35.7453	8.54962
AT2G39400.1	1394	1195	20.2547	4.49186
AT4G04990.1	1217	1018	12	3.12393
AT3G60530.1	1465	1266	157	32.865
AT2G46180.1	2540	2341	96	10.8677
AT2G22270.1	1398	1199	37.4687	8.28167
AT2G22270.2	1174	975	19.5313	5.30876
AT2G43660.1	471	272	0	0
AT2G43660.2	597	398	0	0
AT1G03910.2	2466	2267	61.2271	7.15748
AT1G03910.1	2565	2366	286.773	32.1212
AT1G77590.1	2692	2493	327	34.7611
AT1G77590.2	2669	2470	5.99388e-07	6.431e-08
AT1G79020.1	2134	1935	81	11.0936
